,DaysFromEvent,GOOGL_CumReturn,SPY_CumReturn,QQQ_CumReturn,EventDate
3,-7,-0.03011165541762517,-0.0041932083425166855,-0.03287343303893486,2020-07-20
4,-6,-0.03557275977275676,-0.010606665577258867,-0.04205690984887711,2020-07-20
5,-5,-0.022003531126753573,-0.003391311439475908,-0.024964293809057625,2020-07-20
6,-4,-0.038488535616979624,-0.009712401469507359,-0.037371694497311925,2020-07-20
7,-3,-0.02578918091581739,0.0024671341013153825,-0.026276387358099784,2020-07-20
8,-2,-0.01628692215884575,-0.0011098212714798494,-0.021178683627833594,2020-07-20
9,-1,-0.04852801171767873,0.006783532402850234,-0.0037110406699519816,2020-07-20
10,0,-0.05184682326687984,0.01378282408585041,0.009746105539537142,2020-07-20
11,1,-0.05789599067815476,0.017698526581392038,0.013494489866792803,2020-07-20
12,2,-0.05419357865767871,0.0240195155532128,0.016005821369619255,2020-07-20
13,3,-0.03765733582405306,0.03086459240646633,0.029462731972437872,2020-07-20
14,4,-0.041864769447576666,0.03160494485910359,0.01758026294646875,2020-07-20
0,-10,,,,2020-07-20
1,-9,-0.005064448903641772,0.0021275785128820335,-0.010420647437706765,2020-07-20
2,-8,0.0006457798107775137,0.007831910282137589,-0.006934375531587489,2020-07-20
3,-7,-0.03011165541762517,-0.0041932083425166855,-0.03287343303893486,2020-07-20
4,-6,-0.03557275977275676,-0.010606665577258867,-0.04205690984887711,2020-07-20
5,-5,-0.022003531126753573,-0.003391311439475908,-0.024964293809057625,2020-07-20
6,-4,-0.038488535616979624,-0.009712401469507359,-0.037371694497311925,2020-07-20
7,-3,-0.02578918091581739,0.0024671341013153825,-0.026276387358099784,2020-07-20
8,-2,-0.01628692215884575,-0.0011098212714798494,-0.021178683627833594,2020-07-20
9,-1,-0.04852801171767873,0.006783532402850234,-0.0037110406699519816,2020-07-20
10,0,-0.05184682326687984,0.01378282408585041,0.009746105539537142,2020-07-20
11,1,-0.05789599067815476,0.017698526581392038,0.013494489866792803,2020-07-20
12,2,-0.05419357865767871,0.0240195155532128,0.016005821369619255,2020-07-20
13,3,-0.03765733582405306,0.03086459240646633,0.029462731972437872,2020-07-20
14,4,-0.041864769447576666,0.03160494485910359,0.01758026294646875,2020-07-20
0,-10,,,,2020-07-20
1,-9,-0.005064448903641772,0.0021275785128820335,-0.010420647437706765,2020-07-20
2,-8,0.0006457798107775137,0.007831910282137589,-0.006934375531587489,2020-07-20
3,-7,-0.03011165541762517,-0.0041932083425166855,-0.03287343303893486,2020-07-20
4,-6,-0.03557275977275676,-0.010606665577258867,-0.04205690984887711,2020-07-20
5,-5,-0.022003531126753573,-0.003391311439475908,-0.024964293809057625,2020-07-20
6,-4,-0.038488535616979624,-0.009712401469507359,-0.037371694497311925,2020-07-20
7,-3,-0.02578918091581739,0.0024671341013153825,-0.026276387358099784,2020-07-20
8,-2,-0.01628692215884575,-0.0011098212714798494,-0.021178683627833594,2020-07-20
9,-1,-0.04852801171767873,0.006783532402850234,-0.0037110406699519816,2020-07-20
10,0,-0.05184682326687984,0.01378282408585041,0.009746105539537142,2020-07-20
11,1,-0.05789599067815476,0.017698526581392038,0.013494489866792803,2020-07-20
12,2,-0.05419357865767871,0.0240195155532128,0.016005821369619255,2020-07-20
13,3,-0.03765733582405306,0.03086459240646633,0.029462731972437872,2020-07-20
14,4,-0.041864769447576666,0.03160494485910359,0.01758026294646875,2020-07-20
0,-10,,,,2020-07-20
1,-9,-0.005064448903641772,0.0021275785128820335,-0.010420647437706765,2020-07-20
2,-8,0.0006457798107775137,0.007831910282137589,-0.006934375531587489,2020-07-20
3,-7,-0.03011165541762517,-0.0041932083425166855,-0.03287343303893486,2020-07-20
4,-6,-0.03557275977275676,-0.010606665577258867,-0.04205690984887711,2020-07-20
5,-5,-0.022003531126753573,-0.003391311439475908,-0.024964293809057625,2020-07-20
6,-4,-0.038488535616979624,-0.009712401469507359,-0.037371694497311925,2020-07-20
7,-3,-0.02578918091581739,0.0024671341013153825,-0.026276387358099784,2020-07-20
8,-2,-0.01628692215884575,-0.0011098212714798494,-0.021178683627833594,2020-07-20
9,-1,-0.04852801171767873,0.006783532402850234,-0.0037110406699519816,2020-07-20
10,0,-0.05184682326687984,0.01378282408585041,0.009746105539537142,2020-07-20
11,1,-0.05789599067815476,0.017698526581392038,0.013494489866792803,2020-07-20
12,2,-0.05419357865767871,0.0240195155532128,0.016005821369619255,2020-07-20
13,3,-0.03765733582405306,0.03086459240646633,0.029462731972437872,2020-07-20
14,4,-0.041864769447576666,0.03160494485910359,0.01758026294646875,2020-07-20
0,-10,,,,2020-07-20
1,-9,-0.005064448903641772,0.0021275785128820335,-0.010420647437706765,2020-07-20
2,-8,0.0006457798107775137,0.007831910282137589,-0.006934375531587489,2020-07-20
3,-7,-0.03011165541762517,-0.0041932083425166855,-0.03287343303893486,2020-07-20
4,-6,-0.03557275977275676,-0.010606665577258867,-0.04205690984887711,2020-07-20
5,-5,-0.022003531126753573,-0.003391311439475908,-0.024964293809057625,2020-07-20
6,-4,-0.038488535616979624,-0.009712401469507359,-0.037371694497311925,2020-07-20
7,-3,-0.02578918091581739,0.0024671341013153825,-0.026276387358099784,2020-07-20
8,-2,-0.01628692215884575,-0.0011098212714798494,-0.021178683627833594,2020-07-20
9,-1,-0.04852801171767873,0.006783532402850234,-0.0037110406699519816,2020-07-20
10,0,-0.05184682326687984,0.01378282408585041,0.009746105539537142,2020-07-20
11,1,-0.05789599067815476,0.017698526581392038,0.013494489866792803,2020-07-20
12,2,-0.05419357865767871,0.0240195155532128,0.016005821369619255,2020-07-20
13,3,-0.03765733582405306,0.03086459240646633,0.029462731972437872,2020-07-20
14,4,-0.041864769447576666,0.03160494485910359,0.01758026294646875,2020-07-20
0,-10,,,,2020-07-20
1,-9,-0.005064448903641772,0.0021275785128820335,-0.010420647437706765,2020-07-20
2,-8,0.0006457798107775137,0.007831910282137589,-0.006934375531587489,2020-07-20
3,-7,-0.03011165541762517,-0.0041932083425166855,-0.03287343303893486,2020-07-20
4,-6,-0.03557275977275676,-0.010606665577258867,-0.04205690984887711,2020-07-20
5,-5,-0.022003531126753573,-0.003391311439475908,-0.024964293809057625,2020-07-20
6,-4,-0.038488535616979624,-0.009712401469507359,-0.037371694497311925,2020-07-20
7,-3,-0.02578918091581739,0.0024671341013153825,-0.026276387358099784,2020-07-20
8,-2,-0.01628692215884575,-0.0011098212714798494,-0.021178683627833594,2020-07-20
9,-1,-0.04852801171767873,0.006783532402850234,-0.0037110406699519816,2020-07-20
10,0,-0.05184682326687984,0.01378282408585041,0.009746105539537142,2020-07-20
11,1,-0.05789599067815476,0.017698526581392038,0.013494489866792803,2020-07-20
12,2,-0.05419357865767871,0.0240195155532128,0.016005821369619255,2020-07-20
13,3,-0.03765733582405306,0.03086459240646633,0.029462731972437872,2020-07-20
14,4,-0.041864769447576666,0.03160494485910359,0.01758026294646875,2020-07-20
